2022-08-03 16:03:50,276 | INFO | LOG
2022-08-03 16:05:09,026 | INFO | POST API: {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:09,054 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000287"},"message":"変換に成功しました。"}

2022-08-03 16:05:14,018 | INFO | Start call API

2022-08-03 16:05:14,018 | INFO | RFID code: 00DD20220702000058000287

2022-08-03 16:05:14,019 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:14,019 | INFO | Try start

2022-08-03 16:05:14,019 | INFO | Try end

2022-08-03 16:05:14,020 | INFO | {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:14,020 | INFO | Finally

2022-08-03 16:05:14,020 | INFO | POST API: {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:14,043 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000287"},"message":"変換に成功しました。"}

2022-08-03 16:05:20,896 | INFO | Start call API

2022-08-03 16:05:20,896 | INFO | RFID code: 00DD20220703000058000998

2022-08-03 16:05:20,897 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:20,897 | INFO | Try start

2022-08-03 16:05:20,897 | INFO | Try end

2022-08-03 16:05:20,898 | INFO | {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:20,898 | INFO | Finally

2022-08-03 16:05:20,898 | INFO | POST API: {"rfid":"00DD20220703000058000998","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:20,918 | INFO | Result content: {"code":"02","data":null,"message":"RFIDは存在しません。"}

2022-08-03 16:05:28,098 | INFO | Start call API

2022-08-03 16:05:28,098 | INFO | RFID code: 00DD20220702000058000287

2022-08-03 16:05:28,099 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:28,099 | INFO | Try start

2022-08-03 16:05:28,099 | INFO | Try end

2022-08-03 16:05:28,099 | INFO | {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:28,100 | INFO | Finally

2022-08-03 16:05:28,100 | INFO | POST API: {"rfid":"00DD20220702000058000287","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:28,124 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784063600506","jancode_2":"1920179006605","rfid":"00DD20220702000058000287"},"message":"変換に成功しました。"}

2022-08-03 16:05:51,284 | INFO | Start call API

2022-08-03 16:05:51,284 | INFO | RFID code: 00DD20220703000058000999

2022-08-03 16:05:51,284 | INFO | API key: aip_rtsa_20220516_1

2022-08-03 16:05:51,285 | INFO | Try start

2022-08-03 16:05:51,285 | INFO | Try end

2022-08-03 16:05:51,285 | INFO | {"rfid":"00DD20220703000058000999","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:51,286 | INFO | Finally

2022-08-03 16:05:51,286 | INFO | POST API: {"rfid":"00DD20220703000058000999","api_key":"aip_rtsa_20220516_1"}

2022-08-03 16:05:51,305 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784251037718","jancode_2":"1928393010002","rfid":"00DD20220703000058000999"},"message":"変換に成功しました。"}

