2022-08-04 14:44:45,704 | INFO | LOG
2022-08-04 14:50:56,424 | INFO | POST API: {"rfid":"00DD20220702000058000115","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,444 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784896379693","jancode_2":"1928793015508","rfid":"00DD20220702000058000115"},"message":"変換に成功しました。"}

2022-08-04 14:50:56,445 | INFO | Start call API

2022-08-04 14:50:56,445 | INFO | RFID code: 00DD20220702000058000116

2022-08-04 14:50:56,446 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:56,446 | INFO | Try start

2022-08-04 14:50:56,446 | INFO | Try end

2022-08-04 14:50:56,447 | INFO | {"rfid":"00DD20220702000058000116","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,447 | INFO | Finally

2022-08-04 14:50:56,447 | INFO | POST API: {"rfid":"00DD20220702000058000116","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,466 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784591096369","jancode_2":"1928782020001","rfid":"00DD20220702000058000116"},"message":"変換に成功しました。"}

2022-08-04 14:50:56,467 | INFO | Start call API

2022-08-04 14:50:56,467 | INFO | RFID code: 00DD20220702000058000117

2022-08-04 14:50:56,467 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:56,468 | INFO | Try start

2022-08-04 14:50:56,468 | INFO | Try end

2022-08-04 14:50:56,468 | INFO | {"rfid":"00DD20220702000058000117","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,468 | INFO | Finally

2022-08-04 14:50:56,468 | INFO | POST API: {"rfid":"00DD20220702000058000117","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,482 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784564018428","jancode_2":"1928771012000","rfid":"00DD20220702000058000117"},"message":"変換に成功しました。"}

2022-08-04 14:50:56,483 | INFO | Start call API

2022-08-04 14:50:56,483 | INFO | RFID code: 00DD20220702000058000119

2022-08-04 14:50:56,484 | INFO | API key: aip_rtsa_20220516_1

2022-08-04 14:50:56,484 | INFO | Try start

2022-08-04 14:50:56,484 | INFO | Try end

2022-08-04 14:50:56,484 | INFO | {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,485 | INFO | Finally

2022-08-04 14:50:56,485 | INFO | POST API: {"rfid":"00DD20220702000058000119","api_key":"aip_rtsa_20220516_1"}

2022-08-04 14:50:56,539 | INFO | Result content: {"code":"00","data":{"jancode_1":"9784769022220","jancode_2":"1928798015008","rfid":"00DD20220702000058000119"},"message":"変換に成功しました。"}

